Region,School Year,Grade Level,Students
Region VI - Western Visayas,2018-2019,Grade 11 (GAS),14637.0
Region VII - Central Visayas,2018-2019,Grade 11 (GAS),22023.0
Region VIII - Eastern Visayas,2018-2019,Grade 11 (GAS),16711.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 11 (GAS),4324.0
Region X - Northern Mindanao,2018-2019,Grade 11 (GAS),9112.0
Region XI - Davao Region,2018-2019,Grade 11 (GAS),9275.0
Region XII - Soccsksargen,2018-2019,Grade 11 (GAS),4579.0
CARAGA - CARAGA,2018-2019,Grade 11 (GAS),8496.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 11 (GAS),7129.0
CAR - Cordillera Administrative Region,2018-2019,Grade 11 (GAS),2339.0
NCR - National Capital Region,2018-2019,Grade 11 (GAS),6746.0
Region I - Ilocos Region,2019-2020,Grade 11 (GAS),12567.0
Region II - Cagayan Valley,2019-2020,Grade 11 (GAS),8837.0
Region III - Central Luzon,2019-2020,Grade 11 (GAS),17181.0
Region IV-A - CALABARZON,2019-2020,Grade 11 (GAS),8866.0
Region IV-B - MIMAROPA,2019-2020,Grade 11 (GAS),10663.0
Region V - Bicol Region,2019-2020,Grade 11 (GAS),31896.0
Region VI - Western Visayas,2019-2020,Grade 11 (GAS),13342.0
Region VII - Central Visayas,2019-2020,Grade 11 (GAS),23318.0
Region VIII - Eastern Visayas,2019-2020,Grade 11 (GAS),16930.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 11 (GAS),3213.0
Region X - Northern Mindanao,2019-2020,Grade 11 (GAS),8088.0
Region XI - Davao Region,2019-2020,Grade 11 (GAS),8875.0
Region XII - Soccsksargen,2019-2020,Grade 11 (GAS),3120.0
CARAGA - CARAGA,2019-2020,Grade 11 (GAS),9084.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 11 (GAS),8393.0
CAR - Cordillera Administrative Region,2019-2020,Grade 11 (GAS),2531.0
NCR - National Capital Region,2019-2020,Grade 11 (GAS),6298.0
Region I - Ilocos Region,2020-2021,Grade 11 (GAS),14239.0
Region II - Cagayan Valley,2020-2021,Grade 11 (GAS),10248.0
Region III - Central Luzon,2020-2021,Grade 11 (GAS),21920.0
Region IV-A - CALABARZON,2020-2021,Grade 11 (GAS),8117.0
Region IV-B - MIMAROPA,2020-2021,Grade 11 (GAS),12604.0
Region V - Bicol Region,2020-2021,Grade 11 (GAS),37915.0
Region VI - Western Visayas,2020-2021,Grade 11 (GAS),15514.0
Region VII - Central Visayas,2020-2021,Grade 11 (GAS),27619.0
Region VIII - Eastern Visayas,2020-2021,Grade 11 (GAS),19402.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 11 (GAS),5213.0
Region X - Northern Mindanao,2020-2021,Grade 11 (GAS),10131.0
Region XI - Davao Region,2020-2021,Grade 11 (GAS),13617.0
Region XII - Soccsksargen,2020-2021,Grade 11 (GAS),2860.0
CARAGA - CARAGA,2020-2021,Grade 11 (GAS),12256.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 11 (GAS),10017.0
CAR - Cordillera Administrative Region,2020-2021,Grade 11 (GAS),2928.0
NCR - National Capital Region,2020-2021,Grade 11 (GAS),7683.0
Region I - Ilocos Region,2016-2017,Grade 11 (STEM),4624.0
Region II - Cagayan Valley,2016-2017,Grade 11 (STEM),3350.0
Region III - Central Luzon,2016-2017,Grade 11 (STEM),6703.0
Region IV-A - CALABARZON,2016-2017,Grade 11 (STEM),6831.0
Region IV-B - MIMAROPA,2016-2017,Grade 11 (STEM),2293.0
Region V - Bicol Region,2016-2017,Grade 11 (STEM),2207.0
Region VI - Western Visayas,2016-2017,Grade 11 (STEM),3069.0
Region VII - Central Visayas,2016-2017,Grade 11 (STEM),3328.0
Region VIII - Eastern Visayas,2016-2017,Grade 11 (STEM),1887.0
Region IX - Zamboanga Peninsula,2016-2017,Grade 11 (STEM),1379.0
Region X - Northern Mindanao,2016-2017,Grade 11 (STEM),1318.0
Region XI - Davao Region,2016-2017,Grade 11 (STEM),1091.0
Region XII - Soccsksargen,2016-2017,Grade 11 (STEM),2143.0
CARAGA - CARAGA,2016-2017,Grade 11 (STEM),1410.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Grade 11 (STEM),765.0
CAR - Cordillera Administrative Region,2016-2017,Grade 11 (STEM),1232.0
NCR - National Capital Region,2016-2017,Grade 11 (STEM),4815.0
Region I - Ilocos Region,2017-2018,Grade 11 (STEM),3937.0
Region II - Cagayan Valley,2017-2018,Grade 11 (STEM),3053.0
Region III - Central Luzon,2017-2018,Grade 11 (STEM),5510.0
Region IV-A - CALABARZON,2017-2018,Grade 11 (STEM),4611.0
Region IV-B - MIMAROPA,2017-2018,Grade 11 (STEM),1880.0
Region V - Bicol Region,2017-2018,Grade 11 (STEM),2703.0
Region VI - Western Visayas,2017-2018,Grade 11 (STEM),3382.0
Region VII - Central Visayas,2017-2018,Grade 11 (STEM),2857.0
Region VIII - Eastern Visayas,2017-2018,Grade 11 (STEM),2167.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 11 (STEM),1396.0
Region X - Northern Mindanao,2017-2018,Grade 11 (STEM),1284.0
Region XI - Davao Region,2017-2018,Grade 11 (STEM),1094.0
Region XII - Soccsksargen,2017-2018,Grade 11 (STEM),1972.0
CARAGA - CARAGA,2017-2018,Grade 11 (STEM),1646.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 11 (STEM),720.0
CAR - Cordillera Administrative Region,2017-2018,Grade 11 (STEM),905.0
NCR - National Capital Region,2017-2018,Grade 11 (STEM),4888.0
Region I - Ilocos Region,2018-2019,Grade 11 (STEM),5283.0
Region II - Cagayan Valley,2018-2019,Grade 11 (STEM),3818.0
Region III - Central Luzon,2018-2019,Grade 11 (STEM),6801.0
Region IV-A - CALABARZON,2018-2019,Grade 11 (STEM),6728.0
Region IV-B - MIMAROPA,2018-2019,Grade 11 (STEM),2585.0
Region V - Bicol Region,2018-2019,Grade 11 (STEM),3656.0
Region VI - Western Visayas,2018-2019,Grade 11 (STEM),4982.0
Region VII - Central Visayas,2018-2019,Grade 11 (STEM),3408.0
Region VIII - Eastern Visayas,2018-2019,Grade 11 (STEM),2490.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 11 (STEM),2029.0
Region X - Northern Mindanao,2018-2019,Grade 11 (STEM),1954.0
Region XI - Davao Region,2018-2019,Grade 11 (STEM),1725.0
Region XII - Soccsksargen,2018-2019,Grade 11 (STEM),2844.0
CARAGA - CARAGA,2018-2019,Grade 11 (STEM),2313.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 11 (STEM),993.0
CAR - Cordillera Administrative Region,2018-2019,Grade 11 (STEM),1320.0
NCR - National Capital Region,2018-2019,Grade 11 (STEM),6238.0
Region I - Ilocos Region,2019-2020,Grade 11 (STEM),6699.0
Region II - Cagayan Valley,2019-2020,Grade 11 (STEM),4740.0
Region III - Central Luzon,2019-2020,Grade 11 (STEM),9292.0
Region IV-A - CALABARZON,2019-2020,Grade 11 (STEM),8812.0
Region IV-B - MIMAROPA,2019-2020,Grade 11 (STEM),3153.0
Region V - Bicol Region,2019-2020,Grade 11 (STEM),4332.0
Region VI - Western Visayas,2019-2020,Grade 11 (STEM),6297.0
Region VII - Central Visayas,2019-2020,Grade 11 (STEM),4328.0
Region VIII - Eastern Visayas,2019-2020,Grade 11 (STEM),3062.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 11 (STEM),2538.0
Region X - Northern Mindanao,2019-2020,Grade 11 (STEM),2737.0
Region XI - Davao Region,2019-2020,Grade 11 (STEM),1964.0
Region XII - Soccsksargen,2019-2020,Grade 11 (STEM),3394.0
CARAGA - CARAGA,2019-2020,Grade 11 (STEM),2817.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 11 (STEM),1044.0
CAR - Cordillera Administrative Region,2019-2020,Grade 11 (STEM),1555.0
NCR - National Capital Region,2019-2020,Grade 11 (STEM),7371.0
Region I - Ilocos Region,2020-2021,Grade 11 (STEM),8845.0
Region II - Cagayan Valley,2020-2021,Grade 11 (STEM),6501.0
Region III - Central Luzon,2020-2021,Grade 11 (STEM),13857.0
Region IV-A - CALABARZON,2020-2021,Grade 11 (STEM),13784.0
Region IV-B - MIMAROPA,2020-2021,Grade 11 (STEM),4478.0
Region V - Bicol Region,2020-2021,Grade 11 (STEM),4900.0
Region VI - Western Visayas,2020-2021,Grade 11 (STEM),8666.0
Region VII - Central Visayas,2020-2021,Grade 11 (STEM),5799.0
Region VIII - Eastern Visayas,2020-2021,Grade 11 (STEM),4382.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 11 (STEM),3533.0
Region X - Northern Mindanao,2020-2021,Grade 11 (STEM),3983.0
Region XI - Davao Region,2020-2021,Grade 11 (STEM),2941.0
Region XII - Soccsksargen,2020-2021,Grade 11 (STEM),5057.0
CARAGA - CARAGA,2020-2021,Grade 11 (STEM),3930.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 11 (STEM),1175.0
CAR - Cordillera Administrative Region,2020-2021,Grade 11 (STEM),2025.0
NCR - National Capital Region,2020-2021,Grade 11 (STEM),10480.0
Region I - Ilocos Region,2016-2017,Grade 11 (MARITIME),0.0
Region II - Cagayan Valley,2016-2017,Grade 11 (MARITIME),0.0
Region III - Central Luzon,2016-2017,Grade 11 (MARITIME),80.0
Region IV-A - CALABARZON,2016-2017,Grade 11 (MARITIME),0.0
Region IV-B - MIMAROPA,2016-2017,Grade 11 (MARITIME),0.0
Region V - Bicol Region,2016-2017,Grade 11 (MARITIME),0.0
Region VI - Western Visayas,2016-2017,Grade 11 (MARITIME),0.0
Region VII - Central Visayas,2016-2017,Grade 11 (MARITIME),0.0
Region VIII - Eastern Visayas,2016-2017,Grade 11 (MARITIME),0.0
Region IX - Zamboanga Peninsula,2016-2017,Grade 11 (MARITIME),0.0
Region X - Northern Mindanao,2016-2017,Grade 11 (MARITIME),0.0
Region XI - Davao Region,2016-2017,Grade 11 (MARITIME),0.0
Region XII - Soccsksargen,2016-2017,Grade 11 (MARITIME),0.0
CARAGA - CARAGA,2016-2017,Grade 11 (MARITIME),0.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2016-2017,Grade 11 (MARITIME),0.0
CAR - Cordillera Administrative Region,2016-2017,Grade 11 (MARITIME),0.0
NCR - National Capital Region,2016-2017,Grade 11 (MARITIME),0.0
Region I - Ilocos Region,2017-2018,Grade 11 (MARITIME),0.0
Region II - Cagayan Valley,2017-2018,Grade 11 (MARITIME),0.0
Region III - Central Luzon,2017-2018,Grade 11 (MARITIME),60.0
Region IV-A - CALABARZON,2017-2018,Grade 11 (MARITIME),52.0
Region IV-B - MIMAROPA,2017-2018,Grade 11 (MARITIME),0.0
Region V - Bicol Region,2017-2018,Grade 11 (MARITIME),0.0
Region VI - Western Visayas,2017-2018,Grade 11 (MARITIME),0.0
Region VII - Central Visayas,2017-2018,Grade 11 (MARITIME),0.0
Region VIII - Eastern Visayas,2017-2018,Grade 11 (MARITIME),0.0
Region IX - Zamboanga Peninsula,2017-2018,Grade 11 (MARITIME),0.0
Region X - Northern Mindanao,2017-2018,Grade 11 (MARITIME),0.0
Region XI - Davao Region,2017-2018,Grade 11 (MARITIME),0.0
Region XII - Soccsksargen,2017-2018,Grade 11 (MARITIME),0.0
CARAGA - CARAGA,2017-2018,Grade 11 (MARITIME),0.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2017-2018,Grade 11 (MARITIME),0.0
CAR - Cordillera Administrative Region,2017-2018,Grade 11 (MARITIME),0.0
NCR - National Capital Region,2017-2018,Grade 11 (MARITIME),0.0
Region I - Ilocos Region,2018-2019,Grade 11 (MARITIME),0.0
Region II - Cagayan Valley,2018-2019,Grade 11 (MARITIME),0.0
Region III - Central Luzon,2018-2019,Grade 11 (MARITIME),82.0
Region IV-A - CALABARZON,2018-2019,Grade 11 (MARITIME),53.0
Region IV-B - MIMAROPA,2018-2019,Grade 11 (MARITIME),0.0
Region V - Bicol Region,2018-2019,Grade 11 (MARITIME),41.0
Region VI - Western Visayas,2018-2019,Grade 11 (MARITIME),0.0
Region VII - Central Visayas,2018-2019,Grade 11 (MARITIME),31.0
Region VIII - Eastern Visayas,2018-2019,Grade 11 (MARITIME),0.0
Region IX - Zamboanga Peninsula,2018-2019,Grade 11 (MARITIME),0.0
Region X - Northern Mindanao,2018-2019,Grade 11 (MARITIME),0.0
Region XI - Davao Region,2018-2019,Grade 11 (MARITIME),0.0
Region XII - Soccsksargen,2018-2019,Grade 11 (MARITIME),0.0
CARAGA - CARAGA,2018-2019,Grade 11 (MARITIME),0.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2018-2019,Grade 11 (MARITIME),0.0
CAR - Cordillera Administrative Region,2018-2019,Grade 11 (MARITIME),0.0
NCR - National Capital Region,2018-2019,Grade 11 (MARITIME),0.0
Region I - Ilocos Region,2019-2020,Grade 11 (MARITIME),0.0
Region II - Cagayan Valley,2019-2020,Grade 11 (MARITIME),0.0
Region III - Central Luzon,2019-2020,Grade 11 (MARITIME),74.0
Region IV-A - CALABARZON,2019-2020,Grade 11 (MARITIME),78.0
Region IV-B - MIMAROPA,2019-2020,Grade 11 (MARITIME),0.0
Region V - Bicol Region,2019-2020,Grade 11 (MARITIME),37.0
Region VI - Western Visayas,2019-2020,Grade 11 (MARITIME),0.0
Region VII - Central Visayas,2019-2020,Grade 11 (MARITIME),15.0
Region VIII - Eastern Visayas,2019-2020,Grade 11 (MARITIME),0.0
Region IX - Zamboanga Peninsula,2019-2020,Grade 11 (MARITIME),0.0
Region X - Northern Mindanao,2019-2020,Grade 11 (MARITIME),0.0
Region XI - Davao Region,2019-2020,Grade 11 (MARITIME),0.0
Region XII - Soccsksargen,2019-2020,Grade 11 (MARITIME),0.0
CARAGA - CARAGA,2019-2020,Grade 11 (MARITIME),0.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 11 (MARITIME),0.0
CAR - Cordillera Administrative Region,2019-2020,Grade 11 (MARITIME),38.0
NCR - National Capital Region,2019-2020,Grade 11 (MARITIME),0.0
Region I - Ilocos Region,2020-2021,Grade 11 (MARITIME),0.0
Region II - Cagayan Valley,2020-2021,Grade 11 (MARITIME),0.0
Region III - Central Luzon,2020-2021,Grade 11 (MARITIME),116.0
Region IV-A - CALABARZON,2020-2021,Grade 11 (MARITIME),70.0
Region IV-B - MIMAROPA,2020-2021,Grade 11 (MARITIME),0.0
Region V - Bicol Region,2020-2021,Grade 11 (MARITIME),37.0
Region VI - Western Visayas,2020-2021,Grade 11 (MARITIME),0.0
Region VII - Central Visayas,2020-2021,Grade 11 (MARITIME),31.0
Region VIII - Eastern Visayas,2020-2021,Grade 11 (MARITIME),0.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 11 (MARITIME),0.0
Region X - Northern Mindanao,2020-2021,Grade 11 (MARITIME),0.0
Region XI - Davao Region,2020-2021,Grade 11 (MARITIME),0.0
Region XII - Soccsksargen,2020-2021,Grade 11 (MARITIME),0.0
CARAGA - CARAGA,2020-2021,Grade 11 (MARITIME),0.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 11 (MARITIME),0.0
CAR - Cordillera Administrative Region,2020-2021,Grade 11 (MARITIME),21.0
NCR - National Capital Region,2020-2021,Grade 11 (MARITIME),0.0
Region I - Ilocos Region,2016-2017,Grade 11 (ARTs & DESIGN),135.0
Region II - Cagayan Valley,2016-2017,Grade 11 (ARTs & DESIGN),78.0
Region III - Central Luzon,2016-2017,Grade 11 (ARTs & DESIGN),124.0
Region IV-A - CALABARZON,2016-2017,Grade 11 (ARTs & DESIGN),252.0
Region IV-B - MIMAROPA,2016-2017,Grade 11 (ARTs & DESIGN),250.0
Region V - Bicol Region,2016-2017,Grade 11 (ARTs & DESIGN),314.0
Region VI - Western Visayas,2016-2017,Grade 11 (ARTs & DESIGN),197.0
Region VII - Central Visayas,2016-2017,Grade 11 (ARTs & DESIGN),118.0
Region VIII - Eastern Visayas,2016-2017,Grade 11 (ARTs & DESIGN),30.0
