Region,School Year,Grade Level,Students
Region IV-B - MIMAROPA,2011-2012,Grade 1,105042.0
Region V - Bicol Region,2011-2012,Grade 1,221360.0
Region VI - Western Visayas,2011-2012,Grade 1,229048.0
Region VII - Central Visayas,2011-2012,Grade 1,219743.0
Region VIII - Eastern Visayas,2011-2012,Grade 1,150198.0
Region IX - Zamboanga Peninsula,2011-2012,Grade 1,144588.0
Region X - Northern Mindanao,2011-2012,Grade 1,157072.0
Region XI - Davao Region,2011-2012,Grade 1,163835.0
Region XII - Soccsksargen,2011-2012,Grade 1,142167.0
CARAGA - CARAGA,2011-2012,Grade 1,88310.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2011-2012,Grade 1,191760.0
CAR - Cordillera Administrative Region,2011-2012,Grade 1,43597.0
NCR - National Capital Region,2011-2012,Grade 1,251274.0
Region I - Ilocos Region,2012-2013,Grade 1,117784.0
Region II - Cagayan Valley,2012-2013,Grade 1,86899.0
Region III - Central Luzon,2012-2013,Grade 1,255580.0
Region IV-A - CALABARZON,2012-2013,Grade 1,327515.0
Region IV-B - MIMAROPA,2012-2013,Grade 1,95511.0
Region V - Bicol Region,2012-2013,Grade 1,203216.0
Region VI - Western Visayas,2012-2013,Grade 1,220474.0
Region VII - Central Visayas,2012-2013,Grade 1,220197.0
Region VIII - Eastern Visayas,2012-2013,Grade 1,138492.0
Region IX - Zamboanga Peninsula,2012-2013,Grade 1,133403.0
Region X - Northern Mindanao,2012-2013,Grade 1,146975.0
Region XI - Davao Region,2012-2013,Grade 1,153567.0
Region XII - Soccsksargen,2012-2013,Grade 1,133264.0
CARAGA - CARAGA,2012-2013,Grade 1,82559.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2012-2013,Grade 1,160845.0
CAR - Cordillera Administrative Region,2012-2013,Grade 1,41888.0
NCR - National Capital Region,2012-2013,Grade 1,244358.0
Region I - Ilocos Region,2013-2014,Grade 1,109322.0
Region II - Cagayan Valley,2013-2014,Grade 1,78769.0
Region III - Central Luzon,2013-2014,Grade 1,242625.0
Region IV-A - CALABARZON,2013-2014,Grade 1,289269.0
Region IV-B - MIMAROPA,2013-2014,Grade 1,80768.0
Region V - Bicol Region,2013-2014,Grade 1,163548.0
Region VI - Western Visayas,2013-2014,Grade 1,184704.0
Region VII - Central Visayas,2013-2014,Grade 1,179634.0
Region VIII - Eastern Visayas,2013-2014,Grade 1,119209.0
Region IX - Zamboanga Peninsula,2013-2014,Grade 1,102399.0
Region X - Northern Mindanao,2013-2014,Grade 1,125445.0
Region XI - Davao Region,2013-2014,Grade 1,128442.0
Region XII - Soccsksargen,2013-2014,Grade 1,116256.0
CARAGA - CARAGA,2013-2014,Grade 1,73179.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2013-2014,Grade 1,142477.0
CAR - Cordillera Administrative Region,2013-2014,Grade 1,37796.0
NCR - National Capital Region,2013-2014,Grade 1,229460.0
Region I - Ilocos Region,2014-2015,Grade 1,105045.0
Region II - Cagayan Valley,2014-2015,Grade 1,77715.0
Region III - Central Luzon,2014-2015,Grade 1,233862.0
Region IV-A - CALABARZON,2014-2015,Grade 1,285685.0
Region IV-B - MIMAROPA,2014-2015,Grade 1,79012.0
Region V - Bicol Region,2014-2015,Grade 1,152120.0
Region VI - Western Visayas,2014-2015,Grade 1,172269.0
Region VII - Central Visayas,2014-2015,Grade 1,172983.0
Region VIII - Eastern Visayas,2014-2015,Grade 1,113310.0
Region IX - Zamboanga Peninsula,2014-2015,Grade 1,99151.0
Region X - Northern Mindanao,2014-2015,Grade 1,115601.0
Region XI - Davao Region,2014-2015,Grade 1,110195.0
Region XII - Soccsksargen,2014-2015,Grade 1,115616.0
CARAGA - CARAGA,2014-2015,Grade 1,71620.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2014-2015,Grade 1,122688.0
CAR - Cordillera Administrative Region,2014-2015,Grade 1,35617.0
NCR - National Capital Region,2014-2015,Grade 1,216636.0
Region I - Ilocos Region,2015-2016,Grade 1,95919.0
Region II - Cagayan Valley,2015-2016,Grade 1,74260.0
Region III - Central Luzon,2015-2016,Grade 1,211521.0
Region IV-A - CALABARZON,2015-2016,Grade 1,268433.0
Region IV-B - MIMAROPA,2015-2016,Grade 1,74252.0
Region V - Bicol Region,2015-2016,Grade 1,139641.0
Region VI - Western Visayas,2015-2016,Grade 1,159454.0
Region VII - Central Visayas,2015-2016,Grade 1,164943.0
Region VIII - Eastern Visayas,2015-2016,Grade 1,99146.0
Region IX - Zamboanga Peninsula,2015-2016,Grade 1,86666.0
Region X - Northern Mindanao,2015-2016,Grade 1,110961.0
Region XI - Davao Region,2015-2016,Grade 1,111178.0
Region XII - Soccsksargen,2015-2016,Grade 1,108985.0
CARAGA - CARAGA,2015-2016,Grade 1,66747.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2015-2016,Grade 1,109713.0
CAR - Cordillera Administrative Region,2015-2016,Grade 1,33127.0
NCR - National Capital Region,2015-2016,Grade 1,195621.0
Region I - Ilocos Region,2016-2017,Grade 1,89943.0
Region II - Cagayan Valley,2016-2017,Grade 1,67907.0
Region III - Central Luzon,2016-2017,Grade 1,197521.0
Region IV-A - CALABARZON,2016-2017,Grade 1,234958.0
Region IV-B - MIMAROPA,2016-2017,Grade 1,72304.0
Region V - Bicol Region,2016-2017,Grade 1,140356.0
Region VI - Western Visayas,2016-2017,Grade 1,152084.0
Region VII - Central Visayas,2016-2017,Grade 1,150873.0
Region VIII - Eastern Visayas,2016-2017,Grade 1,97615.0
Region IX - Zamboanga Peninsula,2016-2017,Grade 1,78661.0
Region X - Northern Mindanao,2016-2017,Grade 1,104000.0
Region XI - Davao Region,2016-2017,Grade 1,103357.0
