Region,School Year,Grade Level,Students
Region X - Northern Mindanao,2019-2020,Grade 7,90768.0
Region XI - Davao Region,2019-2020,Grade 7,102529.0
Region XII - Soccsksargen,2019-2020,Grade 7,92748.0
CARAGA - CARAGA,2019-2020,Grade 7,56228.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2019-2020,Grade 7,47038.0
CAR - Cordillera Administrative Region,2019-2020,Grade 7,27780.0
NCR - National Capital Region,2019-2020,Grade 7,191052.0
Region I - Ilocos Region,2020-2021,Grade 7,92467.0
Region II - Cagayan Valley,2020-2021,Grade 7,66195.0
Region III - Central Luzon,2020-2021,Grade 7,195207.0
Region IV-A - CALABARZON,2020-2021,Grade 7,244844.0
Region IV-B - MIMAROPA,2020-2021,Grade 7,61043.0
Region V - Bicol Region,2020-2021,Grade 7,109620.0
Region VI - Western Visayas,2020-2021,Grade 7,151250.0
Region VII - Central Visayas,2020-2021,Grade 7,137491.0
Region VIII - Eastern Visayas,2020-2021,Grade 7,96281.0
Region IX - Zamboanga Peninsula,2020-2021,Grade 7,77452.0
Region X - Northern Mindanao,2020-2021,Grade 7,84774.0
Region XI - Davao Region,2020-2021,Grade 7,88835.0
Region XII - Soccsksargen,2020-2021,Grade 7,89355.0
CARAGA - CARAGA,2020-2021,Grade 7,55731.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2020-2021,Grade 7,42776.0
CAR - Cordillera Administrative Region,2020-2021,Grade 7,27104.0
NCR - National Capital Region,2020-2021,Grade 7,178693.0
Region I - Ilocos Region,2010-2011,Grade 8,78310.0
Region II - Cagayan Valley,2010-2011,Grade 8,50818.0
Region III - Central Luzon,2010-2011,Grade 8,153636.0
Region IV-A - CALABARZON,2010-2011,Grade 8,183617.0
Region IV-B - MIMAROPA,2010-2011,Grade 8,48352.0
Region V - Bicol Region,2010-2011,Grade 8,98742.0
Region VI - Western Visayas,2010-2011,Grade 8,122672.0
Region VII - Central Visayas,2010-2011,Grade 8,107960.0
Region VIII - Eastern Visayas,2010-2011,Grade 8,76297.0
Region IX - Zamboanga Peninsula,2010-2011,Grade 8,55241.0
Region X - Northern Mindanao,2010-2011,Grade 8,59962.0
Region XI - Davao Region,2010-2011,Grade 8,64442.0
Region XII - Soccsksargen,2010-2011,Grade 8,60821.0
CARAGA - CARAGA,2010-2011,Grade 8,42339.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2010-2011,Grade 8,47939.0
CAR - Cordillera Administrative Region,2010-2011,Grade 8,22283.0
NCR - National Capital Region,2010-2011,Grade 8,176840.0
Region I - Ilocos Region,2011-2012,Grade 8,78752.0
Region II - Cagayan Valley,2011-2012,Grade 8,50652.0
Region III - Central Luzon,2011-2012,Grade 8,156282.0
Region IV-A - CALABARZON,2011-2012,Grade 8,189171.0
Region IV-B - MIMAROPA,2011-2012,Grade 8,50663.0
Region V - Bicol Region,2011-2012,Grade 8,101876.0
Region VI - Western Visayas,2011-2012,Grade 8,122704.0
Region VII - Central Visayas,2011-2012,Grade 8,109867.0
Region VIII - Eastern Visayas,2011-2012,Grade 8,78630.0
Region IX - Zamboanga Peninsula,2011-2012,Grade 8,55932.0
Region X - Northern Mindanao,2011-2012,Grade 8,61031.0
Region XI - Davao Region,2011-2012,Grade 8,65730.0
Region XII - Soccsksargen,2011-2012,Grade 8,60702.0
CARAGA - CARAGA,2011-2012,Grade 8,42030.0
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,2011-2012,Grade 8,47168.0
