School Year,Region,Teachers,Students,Student-to-Teacher Ratio
2018-2019,Region V - Bicol Region,35681.0,968308.0,27.137916538213616
2018-2019,Region VI - Western Visayas,40507.0,1080292.0,26.669267040264646
2018-2019,Region VII - Central Visayas,37766.0,1077998.0,28.544140231954668
2018-2019,Region VIII - Eastern Visayas,30034.0,702152.0,23.378570952920025
2018-2019,Region X - Northern Mindanao,24781.0,734954.0,29.657963762560026
2018-2019,Region XI - Davao Region,24489.0,732965.0,29.930376903916045
2018-2019,Region XII - Soccsksargen,24097.0,709349.0,29.43723285056231
2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,16348.0,582913.0,35.65653290922437
2019-2020,CAR - Cordillera Administrative Region,10610.0,216179.0,20.37502356267672
2019-2020,CARAGA - CARAGA,16700.0,428714.0,25.671497005988023
2019-2020,NCR - National Capital Region,37670.0,1252977.0,33.26193257233873
2019-2020,Region I - Ilocos Region,25955.0,640171.0,24.66465035638605
2019-2020,Region II - Cagayan Valley,19546.0,478371.0,24.474112350353014
2019-2020,Region III - Central Luzon,48812.0,1446934.0,29.642997623535198
2019-2020,Region IV-A - CALABARZON,57348.0,1828757.0,31.888766827090745
2019-2020,Region IV-B - MIMAROPA,18509.0,489920.0,26.469285212599274
2019-2020,Region IX - Zamboanga Peninsula,22624.0,581717.0,25.712385077793492
2019-2020,Region V - Bicol Region,36886.0,944885.0,25.616358510003796
2019-2020,Region VI - Western Visayas,41336.0,1041932.0,25.206406038320107
2019-2020,Region VII - Central Visayas,39516.0,1054074.0,26.674612815062254
2019-2020,Region VIII - Eastern Visayas,30273.0,681190.0,22.501569054933437
2019-2020,Region X - Northern Mindanao,25494.0,723709.0,28.387424492037344
2019-2020,Region XI - Davao Region,25098.0,714971.0,28.48717029245358
2019-2020,Region XII - Soccsksargen,24475.0,694336.0,28.369193054136876
2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,17228.0,562328.0,32.64035291386116
2020-2021,CAR - Cordillera Administrative Region,11007.0,219373.0,19.930317070954846
2020-2021,CARAGA - CARAGA,17440.0,427976.0,24.539908256880732
2020-2021,NCR - National Capital Region,38796.0,1232414.0,31.766522321888853
2020-2021,Region I - Ilocos Region,26699.0,645503.0,24.177047829506723
2020-2021,Region II - Cagayan Valley,20534.0,484701.0,23.604801792149605
2020-2021,Region III - Central Luzon,49911.0,1452517.0,29.10214181242612
2020-2021,Region IV-A - CALABARZON,60421.0,1838514.0,30.42839410138859
2020-2021,Region IV-B - MIMAROPA,19277.0,489276.0,25.381335270010894
2020-2021,Region IX - Zamboanga Peninsula,23305.0,565127.0,24.24917399699635
2020-2021,Region V - Bicol Region,38012.0,904212.0,23.787540776596863
2020-2021,Region VI - Western Visayas,42132.0,1041835.0,24.727879046805278
2020-2021,Region VII - Central Visayas,40653.0,1044322.0,25.68868226207168
2020-2021,Region VIII - Eastern Visayas,30620.0,680298.0,22.217439581972567
2020-2021,Region X - Northern Mindanao,26810.0,714265.0,26.641738157403953
2020-2021,Region XI - Davao Region,26010.0,690601.0,26.55136485966936
2020-2021,Region XII - Soccsksargen,25244.0,687986.0,27.253446363492316
